Projects, Parent, Alias: Default, Valid For Consolidations, Data Storage, Two Pass Calculation, Description, Formula, Formula Description, UDA, Smart List, Data Type, Hierarchy Type, Enable for Dynamic Children, Number of Possible Dynamic Children, Access Granted to Member Creator, Allow Upper Level Entity Input, Process Management Enabled, UUID, Plan Type (Project), Aggregation (Project), Data Storage (Project), Formula (Project), Formula Description (Project), Plan Type (Plus), Aggregation (Plus), Data Storage (Plus), Formula (Plus), Solve Order (Plus), Formula Description (Plus), A_Customer, A_ProjectType, A_StartYear, A_StartMonth, A_IsClosed, A_Entity, A_BU, Operation
NoProject,Projects,不分项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b90cb45d-08e4-4c82-b572-4b53a07d1ba2,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
AllProject,Projects,所有项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0e599231-19b9-4d57-a77e-18132cf6b89d,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807138200,AllProject,2018箭牌P7沃尔玛弹立方促销活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,35a8924f-0c14-47f2-ac44-2cf9d1382ec4,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMJHRS1808162100,AllProject,美赞臣北区8-9月PS路演项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,072b3391-caca-483d-84fe-d58c951e4375,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
HVJJHOT1807150100,AllProject,6月-强生经销商服务管理项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3b84514e-d387-4180-a2b5-57bfad27df71,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1808152800,AllProject,2018箭牌P8沃尔玛星爆客户定制活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,16cbe44d-fed8-48b4-b87b-9d2be9113759,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807138400,AllProject,2018箭牌P8弹立方全国主题促销活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,9f362786-7592-4277-bea6-8535a3c7f056,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1806097000,AllProject,2018年箭牌P6弹立方全国主题活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,b5a56833-625c-4fb8-adbb-aa0f8b3c48f0,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807138300,AllProject,2018箭牌P8永辉星爆上市客户定制活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,c760a418-1d5b-431f-8ab8-d48d7cd59aa5,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1808152300,AllProject,2018箭牌P8沃尔玛益达脆皮魔立方客户定制活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,67663c80-1274-4b7a-b8d2-0d07be2034f8,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WISBHMV1807149000,AllProject,Y18 Speedo神秘访客-7月,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,79564846-3128-437e-b1ea-89387c85a865,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1808159000,AllProject,FY1819 JAS PNT Mini Event,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,11097413-9783-41f3-af42-37491f807472,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSHJHSP1807158400,AllProject,2018年亨氏M7PG长促项目 - 非人力,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e8bdc1d7-22a7-4d61-a08e-86f6a36d7a79,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1807160000,AllProject,FY1819 JAS HC KCP ISP Mini Event,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,da0d5415-7ec8-428c-95e7-aaed98fea660,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807158500,AllProject,Y18玛氏淡季P7后新增NKA新开店活动-东区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,0bd0c9a4-ddc7-4ed7-bbcf-480b99501e98,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WILPHSP1808160400,AllProject,Y18欧莱雅8月SID活动-洗护,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,57d868a2-b601-4563-84d4-7d2080db449e,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHRS1807160300,AllProject,FY1819-JAS-REJ-JD 解忧乐园 Mega Event,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,d9a3dc58-7751-492a-863f-a9c5cacae6f3,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHRS1809158000,AllProject,FY1819 JAS 海飞丝 BE event,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,74f66657-a4b3-4a67-9152-230174ee32df,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MHBRHCA1806150000,AllProject,红牛周末短促项目代垫,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,7eff4b0e-8e73-44db-8185-8151ca0c94f2,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
PLJDSOT1806158200,AllProject,佳定税务师事务所网站改版升级,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,a2f4f76b-4660-4d54-9f0f-9baf0d813c04,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMHHSP1808160600,AllProject,spicy chandon wave  III 8-10 月,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,6be80bc4-b5e8-48ae-9bfa-9eac8b95ef6c,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
WIUNLSE1806153200,AllProject,Y18 联合利华清扬世界杯区域延展活动,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,2c55d750-3dff-4f19-83b7-75247c6ffe6d,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MHBRHSP1806160200,AllProject,2018年红牛6月短促,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,078e1f36-da16-402f-9fa2-c15cc671a99b,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
HVHEHSP1806153300,AllProject,Y18好时旺季导购（6月）-短促,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,fe7589ed-1369-4557-a7a7-bfc5c386e3b9,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSPGHSP1808160100,AllProject,1819 JAS Gill Gaming mini event,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,99be84e3-d3ac-44b6-973d-a4ee2172b67f,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMJHRS1808160900,AllProject,美赞臣南区8-9月PS路演项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,3c4bd64a-a4ea-4805-9260-1c2898536ee8,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSCYHSP1807161200,AllProject,2018P9星爆全国主题活动+RT&欧尚Heavy up活动-南区,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,16611e3d-6d3f-4ca9-bc74-849d75d91304,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMWHSP1807161300,AllProject,箭牌理货员东区项目2018年7月-短促,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,f7bcc15e-0139-4773-9791-5ceab46d48af,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
MSMRHSP1807161500,AllProject,Y18玛氏淡季7月Mer&Checker短促项目,false,never share,false,,<none>,<none>,,,unspecified,none,,,,false,true,e672f933-91da-460d-bc9b-a61b353065ea,true,+,never share,<none>,,true,+,never share,<none>,0,,,,,,,,,
